Test Suite ID,Test Suite Name,Test Case ID,Test Case Name,Prerequisites,Step Number,Step Action,Expected Result
TS1,Environment Setup and Application Launch,TS1.1.1,Python and Folder Setup - Python Installation,N/A,1,Verify that Python is installed on the system.,"Python installation is confirmed (e.g., by running `python --version` in a terminal)."
TS1,Environment Setup and Application Launch,TS1.1.2,Python and Folder Setup - Python Not Installed,N/A,2,"If Python is not installed, confirm that a ticket can be raised through Assist to obtain it.",The process for raising a ticket is clear or known.
TS1,Environment Setup and Application Launch,TS1.1.3,Python and Folder Setup - Download Folder,N/A,3,Download the specified folder from the provided link.,The folder downloads successfully.
TS1,Environment Setup and Application Launch,TS1.1.4,Python and Folder Setup - Open Folder,N/A,4,Open the downloaded folder on the desktop.,The folder is accessible on the desktop.
TS1,Environment Setup and Application Launch,TS1.1.5,Python and Folder Setup - Open Terminal,N/A,5,Right-click on an empty space within the folder and select 'Open in Terminal' (or equivalent for the OS).,"A terminal/command prompt window opens, with the path set to the downloaded folder."
TS1,Environment Setup and Application Launch,TS1.2.1,Initial Application Dependency Installation and Launch - Create venv,TS1.1 successfully completed.,1,"In the opened terminal, execute the command: `python -m venv .venv`.",A virtual environment named `.venv` is created in the folder without errors.
TS1,Environment Setup and Application Launch,TS1.2.2,Initial Application Dependency Installation and Launch - Activate venv,TS1.1 successfully completed.,2,"After the command completes, execute: `.\.venv\Scripts\Activate`.","The terminal prompt indicates that the virtual environment is active (e.g., `(.venv)` appears at the beginning of the prompt)."
TS1,Environment Setup and Application Launch,TS1.2.3,Initial Application Dependency Installation and Launch - Install Dependencies,TS1.1 successfully completed.,3,"After activation, execute: `python install_dependencies.py`.",The script runs and installs necessary dependencies without errors.
TS1,Environment Setup and Application Launch,TS1.2.4,Initial Application Dependency Installation and Launch - Run Application,TS1.1 successfully completed.,4,"After dependency installation, execute: `streamlit run sim_forecasting_app.py`.","The Streamlit application launches successfully, typically opening in a web browser. A pop-up screen or a web page displays for file upload. The page title should be ""📊 Demand Forecast Comparison"". The initial view should show ""⚙️ Configuration"" in the sidebar and ""📈 Results"" in the main area, with an invitation to upload data."
TS1,Environment Setup and Application Launch,TS1.3.1,Subsequent Application Launch - Activate venv,TS1.2 successfully completed previously. The terminal was closed and reopened in the application folder.,1,"In the terminal (opened in the application folder), execute: `.\.venv\Scripts\Activate`.",The virtual environment activates successfully.
